Orthogroup	Mycobacterium_leprae	Salmonella_enterica	Total
OG0000000	0	25	25
OG0000001	1	22	23
OG0000002	0	21	21
OG0000003	20	0	20
OG0000004	0	18	18
OG0000005	1	16	17
OG0000006	0	17	17
OG0000007	1	15	16
OG0000008	1	14	15
OG0000009	0	15	15
OG0000010	0	15	15
OG0000011	1	12	13
OG0000012	0	13	13
OG0000013	0	13	13
OG0000014	0	13	13
OG0000015	1	10	11
OG0000016	1	10	11
OG0000017	0	11	11
OG0000018	0	11	11
OG0000019	4	6	10
OG0000020	3	7	10
OG0000021	1	9	10
OG0000022	0	10	10
OG0000023	0	10	10
OG0000024	0	10	10
OG0000025	0	10	10
OG0000026	0	10	10
OG0000027	5	4	9
OG0000028	1	8	9
OG0000029	1	8	9
OG0000030	1	8	9
OG0000031	1	8	9
OG0000032	0	9	9
OG0000033	0	9	9
OG0000034	0	9	9
OG0000035	0	9	9
OG0000036	3	5	8
OG0000037	2	6	8
OG0000038	1	7	8
OG0000039	2	6	8
OG0000040	1	7	8
OG0000041	1	7	8
OG0000042	0	8	8
OG0000043	0	8	8
OG0000044	0	8	8
OG0000045	0	8	8
OG0000046	0	8	8
OG0000047	0	8	8
OG0000048	0	8	8
OG0000049	1	6	7
OG0000050	1	6	7
OG0000051	1	6	7
OG0000052	2	5	7
OG0000053	1	6	7
OG0000054	1	6	7
OG0000055	1	6	7
OG0000056	2	5	7
OG0000057	0	7	7
OG0000058	0	7	7
OG0000059	0	7	7
OG0000060	0	7	7
OG0000061	0	7	7
OG0000062	0	7	7
OG0000063	0	7	7
OG0000064	0	7	7
OG0000065	6	0	6
OG0000066	6	0	6
OG0000067	4	2	6
OG0000068	1	5	6
OG0000069	3	3	6
OG0000070	2	4	6
OG0000071	1	5	6
OG0000072	1	5	6
OG0000073	4	2	6
OG0000074	1	5	6
OG0000075	1	5	6
OG0000076	0	6	6
OG0000077	0	6	6
OG0000078	0	6	6
OG0000079	0	6	6
OG0000080	0	6	6
OG0000081	0	6	6
OG0000082	0	6	6
OG0000083	0	6	6
OG0000084	0	6	6
OG0000085	0	6	6
OG0000086	0	6	6
OG0000087	0	6	6
OG0000088	0	6	6
OG0000089	0	6	6
OG0000090	0	6	6
OG0000091	0	6	6
OG0000092	0	6	6
OG0000093	0	6	6
OG0000094	5	0	5
OG0000095	5	0	5
OG0000096	3	2	5
OG0000097	2	3	5
OG0000098	4	1	5
OG0000099	2	3	5
OG0000100	2	3	5
OG0000101	5	0	5
OG0000102	1	4	5
OG0000103	2	3	5
OG0000104	1	4	5
OG0000105	3	2	5
OG0000106	2	3	5
OG0000107	1	4	5
OG0000108	1	4	5
OG0000109	1	4	5
OG0000110	2	3	5
OG0000111	1	4	5
OG0000112	1	4	5
OG0000113	1	4	5
OG0000114	1	4	5
OG0000115	0	5	5
OG0000116	0	5	5
OG0000117	0	5	5
OG0000118	0	5	5
OG0000119	0	5	5
OG0000120	0	5	5
OG0000121	0	5	5
OG0000122	0	5	5
OG0000123	0	5	5
OG0000124	0	5	5
OG0000125	0	5	5
OG0000126	0	5	5
OG0000127	0	5	5
OG0000128	0	5	5
OG0000129	0	5	5
OG0000130	0	5	5
OG0000131	0	5	5
OG0000132	0	5	5
OG0000133	0	5	5
OG0000134	0	5	5
OG0000135	2	2	4
OG0000136	2	2	4
OG0000137	2	2	4
OG0000138	2	2	4
OG0000139	1	3	4
OG0000140	1	3	4
OG0000141	1	3	4
OG0000142	1	3	4
OG0000143	4	0	4
OG0000144	2	2	4
OG0000145	1	3	4
OG0000146	4	0	4
OG0000147	2	2	4
OG0000148	1	3	4
OG0000149	3	1	4
OG0000150	1	3	4
OG0000151	3	1	4
OG0000152	1	3	4
OG0000153	1	3	4
OG0000154	3	1	4
OG0000155	1	3	4
OG0000156	1	3	4
OG0000157	1	3	4
OG0000158	1	3	4
OG0000159	2	2	4
OG0000160	3	1	4
OG0000161	2	2	4
OG0000162	1	3	4
OG0000163	4	0	4
OG0000164	1	3	4
OG0000165	1	3	4
OG0000166	1	3	4
OG0000167	1	3	4
OG0000168	1	3	4
OG0000169	1	3	4
OG0000170	2	2	4
OG0000171	1	3	4
OG0000172	1	3	4
OG0000173	1	3	4
OG0000174	1	3	4
OG0000175	4	0	4
OG0000176	1	3	4
OG0000177	1	3	4
OG0000178	1	3	4
OG0000179	0	4	4
OG0000180	0	4	4
OG0000181	0	4	4
OG0000182	0	4	4
OG0000183	0	4	4
OG0000184	0	4	4
OG0000185	0	4	4
OG0000186	0	4	4
OG0000187	0	4	4
OG0000188	0	4	4
OG0000189	0	4	4
OG0000190	0	4	4
OG0000191	0	4	4
OG0000192	0	4	4
OG0000193	0	4	4
OG0000194	0	4	4
OG0000195	0	4	4
OG0000196	0	4	4
OG0000197	0	4	4
OG0000198	0	4	4
OG0000199	0	4	4
OG0000200	0	4	4
OG0000201	0	4	4
OG0000202	0	4	4
OG0000203	0	4	4
OG0000204	0	4	4
OG0000205	0	4	4
OG0000206	0	4	4
OG0000207	0	4	4
OG0000208	0	4	4
OG0000209	0	4	4
OG0000210	0	4	4
OG0000211	0	4	4
OG0000212	0	4	4
OG0000213	0	4	4
OG0000214	0	4	4
OG0000215	0	4	4
OG0000216	1	2	3
OG0000217	3	0	3
OG0000218	3	0	3
OG0000219	3	0	3
OG0000220	3	0	3
OG0000221	3	0	3
OG0000222	3	0	3
OG0000223	3	0	3
OG0000224	1	2	3
OG0000225	3	0	3
OG0000226	3	0	3
OG0000227	2	1	3
OG0000228	3	0	3
OG0000229	1	2	3
OG0000230	2	1	3
OG0000231	1	2	3
OG0000232	1	2	3
OG0000233	1	2	3
OG0000234	3	0	3
OG0000235	1	2	3
OG0000236	1	2	3
OG0000237	1	2	3
OG0000238	2	1	3
OG0000239	1	2	3
OG0000240	2	1	3
OG0000241	1	2	3
OG0000242	1	2	3
OG0000243	3	0	3
OG0000244	1	2	3
OG0000245	2	1	3
OG0000246	2	1	3
OG0000247	2	1	3
OG0000248	1	2	3
OG0000249	1	2	3
OG0000250	1	2	3
OG0000251	1	2	3
OG0000252	1	2	3
OG0000253	2	1	3
OG0000254	1	2	3
OG0000255	2	1	3
OG0000256	1	2	3
OG0000257	2	1	3
OG0000258	1	2	3
OG0000259	2	1	3
OG0000260	1	2	3
OG0000261	2	1	3
OG0000262	2	1	3
OG0000263	1	2	3
OG0000264	2	1	3
OG0000265	2	1	3
OG0000266	1	2	3
OG0000267	1	2	3
OG0000268	3	0	3
OG0000269	1	2	3
OG0000270	1	2	3
OG0000271	1	2	3
OG0000272	1	2	3
OG0000273	1	2	3
OG0000274	1	2	3
OG0000275	3	0	3
OG0000276	1	2	3
OG0000277	2	1	3
OG0000278	2	1	3
OG0000279	2	1	3
OG0000280	2	1	3
OG0000281	1	2	3
OG0000282	1	2	3
OG0000283	1	2	3
OG0000284	1	2	3
OG0000285	3	0	3
OG0000286	1	2	3
OG0000287	2	1	3
OG0000288	3	0	3
OG0000289	2	1	3
OG0000290	1	2	3
OG0000291	1	2	3
OG0000292	2	1	3
OG0000293	1	2	3
OG0000294	1	2	3
OG0000295	1	2	3
OG0000296	1	2	3
OG0000297	1	2	3
OG0000298	1	2	3
OG0000299	1	2	3
OG0000300	2	1	3
OG0000301	1	2	3
OG0000302	1	2	3
OG0000303	1	2	3
OG0000304	1	2	3
OG0000305	2	1	3
OG0000306	1	2	3
OG0000307	1	2	3
OG0000308	1	2	3
OG0000309	1	2	3
OG0000310	1	2	3
OG0000311	1	2	3
OG0000312	1	2	3
OG0000313	1	2	3
OG0000314	1	2	3
OG0000315	2	1	3
OG0000316	2	1	3
OG0000317	2	1	3
OG0000318	1	2	3
OG0000319	1	2	3
OG0000320	1	2	3
OG0000321	1	2	3
OG0000322	1	2	3
OG0000323	2	1	3
OG0000324	0	3	3
OG0000325	0	3	3
OG0000326	0	3	3
OG0000327	0	3	3
OG0000328	0	3	3
OG0000329	0	3	3
OG0000330	0	3	3
OG0000331	0	3	3
OG0000332	0	3	3
OG0000333	0	3	3
OG0000334	0	3	3
OG0000335	0	3	3
OG0000336	0	3	3
OG0000337	0	3	3
OG0000338	0	3	3
OG0000339	0	3	3
OG0000340	0	3	3
OG0000341	0	3	3
OG0000342	0	3	3
OG0000343	0	3	3
OG0000344	0	3	3
OG0000345	0	3	3
OG0000346	0	3	3
OG0000347	0	3	3
OG0000348	0	3	3
OG0000349	0	3	3
OG0000350	0	3	3
OG0000351	0	3	3
OG0000352	0	3	3
OG0000353	0	3	3
OG0000354	0	3	3
OG0000355	0	3	3
OG0000356	0	3	3
OG0000357	0	3	3
OG0000358	0	3	3
OG0000359	0	3	3
OG0000360	0	3	3
OG0000361	0	3	3
OG0000362	0	3	3
OG0000363	0	3	3
OG0000364	0	3	3
OG0000365	0	3	3
OG0000366	0	3	3
OG0000367	0	3	3
OG0000368	0	3	3
OG0000369	0	3	3
OG0000370	0	3	3
OG0000371	0	3	3
OG0000372	0	3	3
